,country,country_code,region,continent
0,Afghanistan,AFG,Southern Asia,Asia
1,Åland Islands,ALA,Northern Europe,Europe
2,Albania,ALB,Southern Europe,Europe
3,Algeria,DZA,Northern Africa,Africa
4,American Samoa,ASM,Polynesia,Oceania
5,Andorra,AND,Southern Europe,Europe
6,Angola,AGO,Middle Africa,Africa
7,Anguilla,AIA,Caribbean,North America
8,Antarctica,ATA,Antarctica,Antarctica
9,Antigua and Barbuda,ATG,Caribbean,North America
10,Argentina,ARG,South America,South America
11,Armenia,ARM,Western Asia,Asia
12,Aruba,ABW,Caribbean,North America
13,Australia,AUS,Australia and New Zealand,Oceania
14,Austria,AUT,Western Europe,Europe
15,Azerbaijan,AZE,Western Asia,Asia
16,Bahamas,BHS,Caribbean,North America
17,Bahrain,BHR,Western Asia,Asia
18,Bangladesh,BGD,Southern Asia,Asia
19,Barbados,BRB,Caribbean,North America
20,Belarus,BLR,Eastern Europe,Europe
21,Belgium,BEL,Western Europe,Europe
22,Belize,BLZ,Central America,North America
23,Benin,BEN,Western Africa,Africa
24,Bermuda,BMU,Northern America,North America
25,Bhutan,BTN,Southern Asia,Asia
26,Bolivia (Plurinational State of),BOL,South America,South America
27,"Bonaire, Sint Eustatius and Saba",BES,Caribbean,North America
28,Bosnia and Herzegovina,BIH,Southern Europe,Europe
29,Botswana,BWA,Southern Africa,Africa
30,Bouvet Island,BVT,South America,South America
31,Brazil,BRA,South America,South America
32,British Indian Ocean Territory,IOT,Eastern Africa,Africa
33,British Virgin Islands,VGB,Caribbean,North America
34,Brunei Darussalam,BRN,South-eastern Asia,Asia
35,Bulgaria,BGR,Eastern Europe,Europe
36,Burkina Faso,BFA,Western Africa,Africa
37,Burundi,BDI,Eastern Africa,Africa
38,Cabo Verde,CPV,Western Africa,Africa
39,Cambodia,KHM,South-eastern Asia,Asia
40,Cameroon,CMR,Middle Africa,Africa
41,Canada,CAN,Northern America,North America
42,Cayman Islands,CYM,Caribbean,North America
43,Central African Republic,CAF,Middle Africa,Africa
44,Chad,TCD,Middle Africa,Africa
45,Chile,CHL,South America,South America
46,China,CHN,Eastern Asia,Asia
47,"China, Hong Kong Special Administrative Region",HKG,Eastern Asia,Asia
48,"China, Macao Special Administrative Region",MAC,Eastern Asia,Asia
49,Christmas Island,CXR,Australia and New Zealand,Oceania
50,Cocos (Keeling) Islands,CCK,Australia and New Zealand,Oceania
51,Colombia,COL,South America,South America
52,Comoros,COM,Eastern Africa,Africa
53,Congo,COG,Middle Africa,Africa
54,Cook Islands,COK,Polynesia,Oceania
55,Costa Rica,CRI,Central America,North America
56,Côte d’Ivoire,CIV,Western Africa,Africa
57,Croatia,HRV,Southern Europe,Europe
58,Cuba,CUB,Caribbean,North America
59,Curaçao,CUW,Caribbean,North America
60,Cyprus,CYP,Western Asia,Asia
61,Czechia,CZE,Eastern Europe,Europe
62,Democratic People's Republic of Korea,PRK,Eastern Asia,Asia
63,Democratic Republic of the Congo,COD,Middle Africa,Africa
64,Denmark,DNK,Northern Europe,Europe
65,Djibouti,DJI,Eastern Africa,Africa
66,Dominica,DMA,Caribbean,North America
67,Dominican Republic,DOM,Caribbean,North America
68,Ecuador,ECU,South America,South America
69,Egypt,EGY,Northern Africa,Africa
70,El Salvador,SLV,Central America,North America
71,Equatorial Guinea,GNQ,Middle Africa,Africa
72,Eritrea,ERI,Eastern Africa,Africa
73,Estonia,EST,Northern Europe,Europe
74,Eswatini,SWZ,Southern Africa,Africa
75,Ethiopia,ETH,Eastern Africa,Africa
76,Falkland Islands (Malvinas),FLK,South America,South America
77,Faroe Islands,FRO,Northern Europe,Europe
78,Fiji,FJI,Melanesia,Oceania
79,Finland,FIN,Northern Europe,Europe
80,France,FRA,Western Europe,Europe
81,French Guiana,GUF,South America,South America
82,French Polynesia,PYF,Polynesia,Oceania
83,French Southern Territories,ATF,Eastern Africa,Africa
84,Gabon,GAB,Middle Africa,Africa
85,Gambia,GMB,Western Africa,Africa
86,Georgia,GEO,Western Asia,Asia
87,Germany,DEU,Western Europe,Europe
88,Ghana,GHA,Western Africa,Africa
89,Gibraltar,GIB,Southern Europe,Europe
90,Greece,GRC,Southern Europe,Europe
91,Greenland,GRL,Northern America,North America
92,Grenada,GRD,Caribbean,North America
93,Guadeloupe,GLP,Caribbean,North America
94,Guam,GUM,Micronesia,Oceania
95,Guatemala,GTM,Central America,North America
96,Guernsey,GGY,Northern Europe,Europe
97,Guinea,GIN,Western Africa,Africa
98,Guinea-Bissau,GNB,Western Africa,Africa
99,Guyana,GUY,South America,South America
100,Haiti,HTI,Caribbean,North America
101,Heard Island and McDonald Islands,HMD,Australia and New Zealand,Oceania
102,Holy See,VAT,Southern Europe,Europe
103,Honduras,HND,Central America,North America
104,Hungary,HUN,Eastern Europe,Europe
105,Iceland,ISL,Northern Europe,Europe
106,India,IND,Southern Asia,Asia
107,Indonesia,IDN,South-eastern Asia,Asia
108,Iran (Islamic Republic of),IRN,Southern Asia,Asia
109,Iraq,IRQ,Western Asia,Asia
110,Ireland,IRL,Northern Europe,Europe
111,Isle of Man,IMN,Northern Europe,Europe
112,Israel,ISR,Western Asia,Asia
113,Italy,ITA,Southern Europe,Europe
114,Jamaica,JAM,Caribbean,North America
115,Japan,JPN,Eastern Asia,Asia
116,Jersey,JEY,Northern Europe,Europe
117,Jordan,JOR,Western Asia,Asia
118,Kazakhstan,KAZ,Central Asia,Asia
119,Kenya,KEN,Eastern Africa,Africa
120,Kiribati,KIR,Micronesia,Oceania
121,Kuwait,KWT,Western Asia,Asia
122,Kyrgyzstan,KGZ,Central Asia,Asia
123,Lao People's Democratic Republic,LAO,South-eastern Asia,Asia
124,Latvia,LVA,Northern Europe,Europe
125,Lebanon,LBN,Western Asia,Asia
126,Lesotho,LSO,Southern Africa,Africa
127,Liberia,LBR,Western Africa,Africa
128,Libya,LBY,Northern Africa,Africa
129,Liechtenstein,LIE,Western Europe,Europe
130,Lithuania,LTU,Northern Europe,Europe
131,Luxembourg,LUX,Western Europe,Europe
132,Madagascar,MDG,Eastern Africa,Africa
133,Malawi,MWI,Eastern Africa,Africa
134,Malaysia,MYS,South-eastern Asia,Asia
135,Maldives,MDV,Southern Asia,Asia
136,Mali,MLI,Western Africa,Africa
137,Malta,MLT,Southern Europe,Europe
138,Marshall Islands,MHL,Micronesia,Oceania
139,Martinique,MTQ,Caribbean,North America
140,Mauritania,MRT,Western Africa,Africa
141,Mauritius,MUS,Eastern Africa,Africa
142,Mayotte,MYT,Eastern Africa,Africa
143,Mexico,MEX,Central America,North America
144,Micronesia (Federated States of),FSM,Micronesia,Oceania
145,Monaco,MCO,Western Europe,Europe
146,Mongolia,MNG,Eastern Asia,Asia
147,Montenegro,MNE,Southern Europe,Europe
148,Montserrat,MSR,Caribbean,North America
149,Morocco,MAR,Northern Africa,Africa
150,Mozambique,MOZ,Eastern Africa,Africa
151,Myanmar,MMR,South-eastern Asia,Asia
152,Namibia,NAM,Southern Africa,Africa
153,Nauru,NRU,Micronesia,Oceania
154,Nepal,NPL,Southern Asia,Asia
155,Netherlands,NLD,Western Europe,Europe
156,New Caledonia,NCL,Melanesia,Oceania
157,New Zealand,NZL,Australia and New Zealand,Oceania
158,Nicaragua,NIC,Central America,North America
159,Niger,NER,Western Africa,Africa
160,Nigeria,NGA,Western Africa,Africa
161,Niue,NIU,Polynesia,Oceania
162,Norfolk Island,NFK,Australia and New Zealand,Oceania
163,North Macedonia,MKD,Southern Europe,Europe
164,Northern Mariana Islands,MNP,Micronesia,Oceania
165,Norway,NOR,Northern Europe,Europe
166,Oman,OMN,Western Asia,Asia
167,Pakistan,PAK,Southern Asia,Asia
168,Palau,PLW,Micronesia,Oceania
169,Panama,PAN,Central America,North America
170,Papua New Guinea,PNG,Melanesia,Oceania
171,Paraguay,PRY,South America,South America
172,Peru,PER,South America,South America
173,Philippines,PHL,South-eastern Asia,Asia
174,Pitcairn,PCN,Polynesia,Oceania
175,Poland,POL,Eastern Europe,Europe
176,Portugal,PRT,Southern Europe,Europe
177,Puerto Rico,PRI,Caribbean,North America
178,Qatar,QAT,Western Asia,Asia
179,Republic of Korea,KOR,Eastern Asia,Asia
180,Republic of Moldova,MDA,Eastern Europe,Europe
181,Réunion,REU,Eastern Africa,Africa
182,Romania,ROU,Eastern Europe,Europe
183,Russian Federation,RUS,Eastern Europe,Europe
184,Rwanda,RWA,Eastern Africa,Africa
185,Saint Barthélemy,BLM,Caribbean,North America
186,Saint Helena,SHN,Western Africa,Africa
187,Saint Kitts and Nevis,KNA,Caribbean,North America
188,Saint Lucia,LCA,Caribbean,North America
189,Saint Martin (French Part),MAF,Caribbean,North America
190,Saint Pierre and Miquelon,SPM,Northern America,North America
191,Saint Vincent and the Grenadines,VCT,Caribbean,North America
192,Samoa,WSM,Polynesia,Oceania
193,San Marino,SMR,Southern Europe,Europe
194,Sao Tome and Principe,STP,Middle Africa,Africa
195,Sark,,Northern Europe,Europe
196,Saudi Arabia,SAU,Western Asia,Asia
197,Senegal,SEN,Western Africa,Africa
198,Serbia,SRB,Southern Europe,Europe
199,Seychelles,SYC,Eastern Africa,Africa
200,Sierra Leone,SLE,Western Africa,Africa
201,Singapore,SGP,South-eastern Asia,Asia
202,Sint Maarten (Dutch part),SXM,Caribbean,North America
203,Slovakia,SVK,Eastern Europe,Europe
204,Slovenia,SVN,Southern Europe,Europe
205,Solomon Islands,SLB,Melanesia,Oceania
206,Somalia,SOM,Eastern Africa,Africa
207,South Africa,ZAF,Southern Africa,Africa
208,South Georgia and the South Sandwich Islands,SGS,South America,South America
209,South Sudan,SSD,Eastern Africa,Africa
210,Spain,ESP,Southern Europe,Europe
211,Sri Lanka,LKA,Southern Asia,Asia
212,State of Palestine,PSE,Western Asia,Asia
213,Sudan,SDN,Northern Africa,Africa
214,Suriname,SUR,South America,South America
215,Svalbard and Jan Mayen Islands,SJM,Northern Europe,Europe
216,Sweden,SWE,Northern Europe,Europe
217,Switzerland,CHE,Western Europe,Europe
218,Syrian Arab Republic,SYR,Western Asia,Asia
219,Tajikistan,TJK,Central Asia,Asia
220,Thailand,THA,South-eastern Asia,Asia
221,Timor-Leste,TLS,South-eastern Asia,Asia
222,Togo,TGO,Western Africa,Africa
223,Tokelau,TKL,Polynesia,Oceania
224,Tonga,TON,Polynesia,Oceania
225,Trinidad and Tobago,TTO,Caribbean,North America
226,Tunisia,TUN,Northern Africa,Africa
227,Turkey,TUR,Western Asia,Asia
228,Turkmenistan,TKM,Central Asia,Asia
229,Turks and Caicos Islands,TCA,Caribbean,North America
230,Tuvalu,TUV,Polynesia,Oceania
231,Uganda,UGA,Eastern Africa,Africa
232,Ukraine,UKR,Eastern Europe,Europe
233,United Arab Emirates,ARE,Western Asia,Asia
234,United Kingdom of Great Britain and Northern Ireland,GBR,Northern Europe,Europe
235,United Republic of Tanzania,TZA,Eastern Africa,Africa
236,United States Minor Outlying Islands,UMI,Micronesia,Oceania
237,United States of America,USA,Northern America,North America
238,United States Virgin Islands,VIR,Caribbean,North America
239,Uruguay,URY,South America,South America
240,Uzbekistan,UZB,Central Asia,Asia
241,Vanuatu,VUT,Melanesia,Oceania
242,Venezuela (Bolivarian Republic of),VEN,South America,South America
243,Viet Nam,VNM,South-eastern Asia,Asia
244,Wallis and Futuna Islands,WLF,Polynesia,Oceania
245,Western Sahara,ESH,Northern Africa,Africa
246,Yemen,YEM,Western Asia,Asia
247,Zambia,ZMB,Eastern Africa,Africa
248,Zimbabwe,ZWE,Eastern Africa,Africa
